127.0.0.1 - - [01/Jul/2024:10:11:13 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:11:13 +0530] "GET /MyWebCalCulator/MyServlet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:11:14 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:13:03 +0530] "GET /MyWebCalCulator/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:13:11 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:13:21 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:14:40 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:14:50 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:14:55 +0530] "GET /MyWebCalCulator/myservlet? HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:17:12 +0530] "GET /MyWebCalCulator/myservlet? HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:17:16 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:17:17 +0530] "POST /MyWebCalCulator/myservlet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:28:02 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:28:17 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:28:30 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:28:32 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:28:33 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:28:46 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:28:47 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:28:53 +0530] "POST /MyWebCalCulator/myservlet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:30:51 +0530] "POST /MyWebCalCulator/myservlet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:30:54 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:30:58 +0530] "GET /MyWebCalCulator/myservlet?username=rk&password=1234 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:31:51 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:31:55 +0530] "POST /MyWebCalCulator/myservlet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:35:30 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:35:34 +0530] "POST /MyWebCalCulator/myservlet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:35:44 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:35:47 +0530] "GET /MyWebCalCulator/myservlet?username=rk&password=1234 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:38:49 +0530] "GET /MyWebCalCulator/? HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [01/Jul/2024:10:38:53 +0530] "POST /MyWebCalCulator/myservlet HTTP/1.1" 200 35
